aria2	windows-aarch64	aria2-1.37.0-win-32bit-build1.zip	32bit-build1
aria2	windows-aarch64	aria2-1.37.0-win-64bit-build1.zip	64bit-build1
aria2	windows-i686	aria2-1.37.0-win-32bit-build1.zip	32bit-build1
aria2	windows-i686	aria2-1.37.0-win-64bit-build1.zip	64bit-build1
aria2	windows-x86_64	aria2-1.37.0-win-32bit-build1.zip	32bit-build1
aria2	windows-x86_64	aria2-1.37.0-win-64bit-build1.zip	64bit-build1
basalt	linux-aarch64-gnu	basalt-0.12.7-aarch64-unknown-linux-gnu.tar.gz	
basalt	linux-aarch64-musl	basalt-0.12.7-aarch64-unknown-linux-musl.tar.gz	
basalt	linux-armv7-gnu	basalt-0.12.7-armv7-unknown-linux-gnueabihf.tar.gz	gnueabihf
basalt	linux-x86_64-gnu	basalt-0.12.7-x86_64-unknown-linux-gnu.tar.gz	
basalt	linux-x86_64-musl	basalt-0.12.7-x86_64-unknown-linux-musl.tar.gz	
basalt	macos-aarch64	basalt-0.12.7-aarch64-apple-darwin.tar.gz	
basalt	macos-x86_64	basalt-0.12.7-x86_64-apple-darwin.tar.gz	
basalt	windows-x86_64-gnu	basalt-0.12.7-x86_64-pc-windows-gnu.zip	
basalt	windows-x86_64-msvc	basalt-0.12.7-x86_64-pc-windows-msvc.zip	
bat	linux-aarch64-gnu	bat-v0.26.1-aarch64-unknown-linux-gnu.tar.gz	
bat	linux-aarch64-musl	bat-v0.26.1-aarch64-unknown-linux-musl.tar.gz	
bat	linux-armv7-gnu	bat-v0.26.1-arm-unknown-linux-gnueabihf.tar.gz	arm-gnueabihf
bat	linux-armv7-musl	bat-v0.26.1-arm-unknown-linux-musleabihf.tar.gz	arm-musleabihf
bat	linux-i686-gnu	bat-v0.26.1-i686-unknown-linux-gnu.tar.gz	
bat	linux-i686-musl	bat-v0.26.1-i686-unknown-linux-musl.tar.gz	
bat	linux-x86_64-gnu	bat-v0.26.1-x86_64-unknown-linux-gnu.tar.gz	
bat	linux-x86_64-musl	bat-v0.26.1-x86_64-unknown-linux-musl.tar.gz	
bat	macos-aarch64	bat-v0.26.1-aarch64-apple-darwin.tar.gz	
bat	macos-x86_64	bat-v0.26.1-x86_64-apple-darwin.tar.gz	
bat	windows-aarch64-msvc	bat-v0.26.1-aarch64-pc-windows-msvc.zip	
bat	windows-i686-msvc	bat-v0.26.1-i686-pc-windows-msvc.zip	
bat	windows-x86_64-msvc	bat-v0.26.1-x86_64-pc-windows-msvc.zip	
bkp	linux-aarch64	bkp-linux-aarch64.tar.gz	
bkp	linux-aarch64-musl	bkp-linux-aarch64-musl.tar.gz	
bkp	linux-armv7	bkp-linux-armv7.tar.gz	
bkp	linux-armv7-musl	bkp-linux-armv7-musl.tar.gz	
bkp	linux-i686	bkp-linux-i686.tar.gz	
bkp	linux-i686-musl	bkp-linux-i686-musl.tar.gz	
bkp	linux-x86_64	bkp-linux-x86_64.tar.gz	
bkp	linux-x86_64-musl	bkp-linux-x86_64-musl.tar.gz	
bkp	macos-aarch64	bkp-macos-aarch64.tar.gz	
bkp	macos-x86_64	bkp-macos-x86_64.tar.gz	
bkp	windows-aarch64	bkp-windows-aarch64.exe	
bkp	windows-i686	bkp-windows-i686.exe	
bkp	windows-x86_64	bkp-windows-x86_64.exe	
bottom	freebsd-x86_64	bottom_x86_64-unknown-freebsd-13.5.tar.gz	freebsd
bottom	freebsd-x86_64	bottom_x86_64-unknown-freebsd-14.3.tar.gz	freebsd
bottom	freebsd-x86_64	bottom_x86_64-unknown-freebsd-15.0.tar.gz	freebsd
bottom	linux-aarch64	bottom_aarch64-linux-android.tar.gz	android
bottom	linux-aarch64-gnu	bottom_aarch64-unknown-linux-gnu.tar.gz	
bottom	linux-aarch64-musl	bottom_aarch64-unknown-linux-musl.tar.gz	
bottom	linux-armv7-gnu	bottom_armv7-unknown-linux-gnueabihf.tar.gz	gnueabihf
bottom	linux-armv7-musl	bottom_armv7-unknown-linux-musleabihf.tar.gz	musleabihf
bottom	linux-i686-gnu	bottom_i686-unknown-linux-gnu.tar.gz	
bottom	linux-i686-musl	bottom_i686-unknown-linux-musl.tar.gz	
bottom	linux-x86_64-gnu	bottom_x86_64-unknown-linux-gnu-2-17.tar.gz	2-17
bottom	linux-x86_64-gnu	bottom_x86_64-unknown-linux-gnu.tar.gz	
bottom	linux-x86_64-musl	bottom_x86_64-unknown-linux-musl.tar.gz	
bottom	macos-aarch64	bottom_aarch64-apple-darwin.tar.gz	
bottom	macos-x86_64	bottom_x86_64-apple-darwin.tar.gz	
bottom	windows-aarch64-msvc	bottom_aarch64-pc-windows-msvc.tar.gz	
bottom	windows-i686-msvc	bottom_i686-pc-windows-msvc.zip	
bottom	windows-x86_64-gnu	bottom_x86_64-pc-windows-gnu.zip	
bottom	windows-x86_64-msvc	bottom_x86_64-pc-windows-msvc.zip	
btop	linux-aarch64-musl	btop-aarch64-unknown-linux-musl.tar.gz	
btop	linux-aarch64-musl	btop-i586-unknown-linux-musl.tar.gz	i586
btop	linux-aarch64-musl	btop-m68k-unknown-linux-musl.tar.gz	m68k
btop	linux-armv7-musl	btop-arm-unknown-linux-musleabi.tar.gz	arm-musleabi
btop	linux-armv7-musl	btop-armv7-unknown-linux-musleabi.tar.gz	musleabi
btop	linux-armv7-musl	btop-i586-unknown-linux-musl.tar.gz	i586
btop	linux-armv7-musl	btop-m68k-unknown-linux-musl.tar.gz	m68k
btop	linux-i686-musl	btop-i586-unknown-linux-musl.tar.gz	i586
btop	linux-i686-musl	btop-i686-unknown-linux-musl.tar.gz	
btop	linux-i686-musl	btop-m68k-unknown-linux-musl.tar.gz	m68k
btop	linux-x86_64-musl	btop-i586-unknown-linux-musl.tar.gz	i586
btop	linux-x86_64-musl	btop-m68k-unknown-linux-musl.tar.gz	m68k
btop	linux-x86_64-musl	btop-x86_64-unknown-linux-musl.tar.gz	
bun	freebsd-aarch64	bun-freebsd-aarch64-profile.zip	freebsd-profile
bun	freebsd-aarch64	bun-freebsd-aarch64.zip	freebsd
bun	freebsd-x86_64	bun-freebsd-x64-baseline-profile.zip	freebsd-baseline-profile
bun	freebsd-x86_64	bun-freebsd-x64-baseline.zip	freebsd-baseline
bun	freebsd-x86_64	bun-freebsd-x64-profile.zip	freebsd-profile
bun	freebsd-x86_64	bun-freebsd-x64.zip	freebsd
bun	linux-aarch64	bun-linux-aarch64-android-profile.zip	android-profile
